metric,mean,std,num_seeds
cooldown_trust,0.016266485676169395,0.0006604024674743414,30
cooldown_base,0.019696565344929695,0.0010385146597400308,30
conflict_trust,0.011209717951714993,0.002162797376513481,30
conflict_base,0.013992149382829666,0.0024328972212970257,30
cluster_lifetime_trust,420.03338623046875,7.770721912384033,30
cluster_lifetime_base,392.09564208984375,8.719902038574219,30
min_return_trust,0.17616666853427887,0.05514651909470558,30
min_return_base,0.17249998450279236,0.04977868124842644,30
coop_index_trust,0.07216665893793106,0.020194195210933685,30
coop_index_base,0.06916666775941849,0.018169725313782692,30
